	CK-1	CK-2	CK-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000002	63.07	93.72	70.41	65.47	79.79	79.7	0.947259967452399	0.0142943353195093	Not sig
BraA01000003	288.93	276.81	527.85	924.31	746.8	651.47	0.0231222699028574	-1.08665633447433	Down
BraA01000004	57	69	43	36	30	13	0.0426420402171839	1.09709868810508	Up
BraA01000006	65	116	80	35	27	14	0.040507341937465	1.7799784831263	Up
BraA01000007	29	35	32	107	143	146	0.0140107780916183	-2.04439411935845	Down
BraA01000008	441.66	227.32	227.24	78.74	100.02	78.73	0.095183435995349	1.79933651774287	Not sig
BraA01000009	47.86	38.22	32	12	20	20	0.022627230642097	1.18318109814458	Up
BraA01000010	39	50	54	107	130	134	0.00387054126934235	-1.37540403984241	Down
BraA01000012	0.005	0.005	0.005	1	2	3	0.074511615983958	-8.64385618977473	Not sig
BraA01000015	0.005	0.005	0.005	0.005	3	6	0.225489526322092	-9.22961996518512	Not sig
BraA01000016	0.005	0.005	0.005	1	5	2	0.157183645736135	-9.05889368905357	Not sig
BraA01000018	3	1	3	2	6	12	0.271981963998	-1.51457317282976	Not sig
BraA01000019	1	0.005	2	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000020	181	295	343	162	166	161	0.149065713595473	0.744028986688775	Not sig
BraA01000021	60	60	50	57	67	73	0.199007270169532	-0.212660883318675	Not sig
BraA01000022	34	41	66	181	198	156	0.0013444052942611	-1.92384372888972	Down
BraA01000023	12	9	1	1368	1992.02	2124	0.015989251354221	-7.96158649860221	Down
BraA01000026	27	51	37	25	20	8	0.0802411882216722	1.11756959638118	Not sig
BraA01000027	13	11	48	31	31	24	0.737374695339488	-0.256339753259786	Not sig
BraA01000030	483	466.22	549.36	845	938	956	0.000952141200888265	-0.870053163491403	Not sig
BraA01000031	177	168	216	72	93	65	0.00616477562079381	1.28636690966442	Up
BraA01000035	96	73	57	116	108	135	0.0382581154446256	-0.667661071407864	Not sig
BraA01000036	327	382	446	544	601	581	0.0169555527794548	-0.579539612875535	Not sig
BraA01000038	72	155	164	21	46	44	0.0768350666194817	1.81660893095725	Not sig
BraA01000039	1	4	4	1	0.005	3	0.280601163808483	1.16812275880833	Not sig
BraA01000040	0.005	0.005	4	2	3	5	0.288907973392784	-1.31832585820717	Not sig
BraA01000042	92	113	327	333	357	217	0.239442543377001	-0.769676305027333	Not sig
BraA01000044	40	60	69	20	52	45	0.252861826627613	0.53051471669878	Not sig
BraA01000045	219.22	219.3	209.07	431.8	603.75	472.22	0.0307875747630127	-1.21926375911292	Down
BraA01000047	716	809	644	557	647	679	0.19283213213166	0.203997053058046	Not sig
BraA01000048	366	431	442	304	385	348	0.113430905993056	0.256760293327376	Not sig
BraA01000049	21.59	15.13	18.36	6.78	22.2	36.78	0.723754090115995	-0.255681739546719	Not sig
BraA01000051	0.005	13	0.005	13	19	0.005	0.424964304972067	-1.29867634654788	Not sig
BraA01000053	70.41	80.87	156.64	89.22	152.8	91.22	0.81828775450868	-0.114006006729163	Not sig
BraA01000054	55	53	59	40	36	47	0.0262780044598165	0.441189787134812	Not sig
BraA01000056	13	0.005	23	0.005	0.005	17	0.509905930880288	1.08181412595129	Not sig
BraA01000060	1	0.005	2	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000061	1366	1607	1341	710	774.84	640	0.00549514575295197	1.02167196578784	Up
BraA01000062	25	14	18	51	46	53	0.0023803391098981	-1.39592867633114	Down
BraA01000065	358	349	370	114	178	109	0.00638294587680909	1.42534410808929	Up
BraA01000067	935	790	1095	610	818	707	0.10805679964914	0.401459092778303	Not sig
BraA01000069	77	75	109	199	225	199	0.001268248607818	-1.25518235645412	Down
BraA01000073	0.005	0.005	2	2	2	1	0.274287211429414	-1.31473259348316	Not sig
BraA01000074	7	1	7	0.005	0.005	0.005	0.129822963440234	9.96578428466209	Not sig
BraA01000075	5	6	6	276	409	382	0.0131786308225618	-5.97188161957409	Down
