	CK-1	CK-2	CK-3	TH-1	TH-2	TH-3	pvalue	log2FC	UPDOWN
BraA01000002	63.07	93.72	70.41	66.48	95.29	76.28	0.787232648744043	-0.0673017940516561	Not sig
BraA01000003	288.93	276.81	527.85	351.64	317.61	288.41	0.638335533021368	0.191486506844038	Not sig
BraA01000004	57	69	43	73	60	75	0.22930357193538	-0.299560281858908	Not sig
BraA01000006	65	116	80	105	44	79	0.661564473626087	0.195015982405143	Not sig
BraA01000007	29	35	32	33	43	17	0.908342049186876	0.0458036896131248	Not sig
BraA01000008	441.66	227.32	227.24	272.96	143.61	79.79	0.22156889799773	0.852466063796874	Not sig
BraA01000009	47.86	38.22	32	28	33.93	42	0.486128987078326	0.184152469824254	Not sig
BraA01000010	39	50	54	51	37	36	0.391874023627244	0.205675026391514	Not sig
BraA01000012	0.005	0.005	0.005	0.005	1	1	0.183503419072274	-7.06249592573376	Not sig
BraA01000018	3	1	3	0.005	1	3	0.420682806380208	0.805552679423619	Not sig
BraA01000019	1	0.005	2	1	0.005	3	0.769650151406301	-0.414437251697525	Not sig
BraA01000020	181	295	343	225	167	229	0.303924991432024	0.399270183420527	Not sig
BraA01000021	60	60	50	64	52	79	0.405851302315464	-0.197939377611909	Not sig
BraA01000022	34	41	66	50	26	31	0.40770539153563	0.398084365997647	Not sig
BraA01000023	12	9	1	0.005	2	0.005	0.17523154437614	3.45223611723309	Not sig
BraA01000026	27	51	37	31	22	15	0.144793166115492	0.758027209694036	Not sig
BraA01000027	13	11	48	5	8	10	0.306369394316846	1.6463630453853	Not sig
BraA01000030	483	466.22	549.36	355	411	318	0.0204993060678978	0.467231345860104	Not sig
BraA01000031	177	168	216	191	155	131	0.288936185986398	0.234011504603281	Not sig
BraA01000035	96	73	57	131	105	140	0.0319504249854166	-0.73440988926245	Not sig
BraA01000036	327	382	446	385	313	331	0.3696272528241	0.166649869409451	Not sig
BraA01000038	72	155	164	56	142	42	0.305397106034009	0.704134201698834	Not sig
BraA01000039	1	4	4	1	0.005	0.005	0.105036958681944	3.15556970846524	Not sig
BraA01000040	0.005	0.005	4	3	1	0.005	0.999224274289821	0.00179999404621018	Not sig
BraA01000042	92	113	327	102	61	98	0.35166842381298	1.02737643893131	Not sig
BraA01000044	40	60	69	52	48	55	0.64438524955227	0.124755031007947	Not sig
BraA01000045	219.22	219.3	209.07	257.26	154.05	221.83	0.888589261435497	0.0325561640590466	Not sig
BraA01000047	716	809	644	842	741	1055	0.230465113357235	-0.282414511579271	Not sig
BraA01000048	366	431	442	592	532	697	0.0382691452423842	-0.555554734836237	Not sig
BraA01000049	21.59	15.13	18.36	9.1	10.48	7.95	0.0264007408756357	1.0005239495394	Up
BraA01000051	0.005	13	0.005	0.1	9	0.005	0.818168648911332	0.514890039740957	Not sig
BraA01000053	70.41	80.87	156.64	67.9	75.52	64.05	0.342687261119706	0.569652837297077	Not sig
BraA01000054	55	53	59	51	52	67	0.868874697552833	-0.0256866436636496	Not sig
BraA01000056	13	0.005	23	27.9	0.005	18	0.770344236384779	-0.350454034449939	Not sig
BraA01000060	1	0.005	2	1	2	1	0.650393544294151	-0.412635009063539	Not sig
BraA01000061	1366	1607	1341	1470	1572.48	1841.78	0.24944024007386	-0.179113823730047	Not sig
BraA01000062	25	14	18	16	7	20	0.405968470429195	0.406625259462644	Not sig
BraA01000065	358	349	370	363	301	387	0.770507012907897	0.0352555805820291	Not sig
BraA01000067	935	790	1095	583	505	359	0.0165533091434402	0.962630240754431	Not sig
BraA01000069	77	75	109	111	68	83	0.985080041042731	-0.00551700496756572	Not sig
BraA01000074	7	1	7	1	0.005	6	0.384180343525419	1.09850554495243	Not sig
BraA01000075	5	6	6	2	2	2	0.00816340186582448	1.50250034052918	Up
BraA01000076	78	70	61	102	59	87	0.417228528316832	-0.246837178305992	Not sig
BraA01000079	178	200	233	106	108	153	0.021435463336403	0.735392316975517	Not sig
BraA01000080	5	5	9	4	4	5	0.269645291993942	0.547487795302493	Not sig
BraA01000081	3	6	3	0.005	2	2	0.100793324668376	1.58316025808717	Not sig
BraA01000082	42	16	267	41	59	25	0.491459894510248	1.37851162325373	Not sig
BraA01000084	40	24	26	32	27	24	0.704015345703251	0.11681366498275	Not sig
BraA01000085	340	436	891	538	255	307	0.395580237111375	0.599750580574395	Not sig
BraA01000086	190	196	419	236	118	164	0.337084712027836	0.636036685315425	Not sig
BraA01000087	102	77	82	103	78	115	0.43551169620928	-0.181547369059065	Not sig
BraA01000088	19	31	61	23	4	15	0.198824459358622	1.40209844357135	Not sig
BraA01000090	354	425	323	389	409	352	0.673271007985104	-0.06150963726058	Not sig
BraA01000091	21	12	95	17	0.005	1	0.296343356685574	2.82967430558444	Not sig
BraA01000092	261	179	801	220	97	76	0.282275057233336	1.65890189787175	Not sig
BraA01000093	118	145	158	122	95	110	0.101164165132486	0.364529597568313	Not sig
BraA01000094	2965	2856	1828	2688	2408	3163	0.66150927282377	-0.110695962763446	Not sig
BraA01000095	0.005	4	2	0.005	2	1	0.495500620414831	0.998799254994449	Not sig
BraA01000097	76	121	90	138	73	130	0.507971714670416	-0.248721002348485	Not sig
BraA01000098	30	23	9	23	11	35	0.814013170800593	-0.154328146391294	Not sig
BraA01000099	844	974	1144	953	877	1236	0.816634794741648	-0.0497860563699298	Not sig
