,T-1,T-2,T-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA01000002,65.47,79.79,79.7,63.07,93.72,70.41,0.947259967452399,-0.0142943353195091,Not sig
BraA01000003,924.31,746.8,651.47,288.93,276.81,527.85,0.0231222699028574,1.08665633447433,Up
BraA01000004,36,30,13,57,69,43,0.0426420402171839,-1.09709868810508,Down
BraA01000006,35,27,14,65,116,80,0.040507341937465,-1.7799784831263,Down
BraA01000007,107,143,146,29,35,32,0.0140107780916183,2.04439411935845,Up
BraA01000008,78.74,100.02,78.73,441.66,227.32,227.24,0.095183435995349,-1.79933651774287,Not sig
BraA01000009,12,20,20,47.86,38.22,32,0.022627230642097,-1.18318109814458,Down
BraA01000010,107,130,134,39,50,54,0.00387054126934235,1.37540403984241,Up
BraA01000012,1,2,3,0.005,0.005,0.005,0.074511615983958,8.64385618977473,Not sig
BraA01000015,0.005,3,6,0.005,0.005,0.005,0.225489526322092,9.22961996518512,Not sig
BraA01000016,1,5,2,0.005,0.005,0.005,0.157183645736135,9.05889368905357,Not sig
BraA01000018,2,6,12,3,1,3,0.271981963998,1.51457317282976,Not sig
BraA01000019,0.005,0.005,0.005,1,0.005,2,0.225662696077777,-7.64625867999003,Not sig
BraA01000020,162,166,161,181,295,343,0.149065713595473,-0.744028986688775,Not sig
BraA01000021,57,67,73,60,60,50,0.199007270169532,0.212660883318675,Not sig
BraA01000022,181,198,156,34,41,66,0.0013444052942611,1.92384372888972,Up
BraA01000023,1368,1992.02,2124,12,9,1,0.015989251354221,7.96158649860221,Up
BraA01000026,25,20,8,27,51,37,0.0802411882216722,-1.11756959638118,Not sig
BraA01000027,31,31,24,13,11,48,0.737374695339488,0.256339753259786,Not sig
BraA01000030,845,938,956,483,466.22,549.36,0.000952141200888265,0.870053163491403,Not sig
BraA01000031,72,93,65,177,168,216,0.00616477562079381,-1.28636690966442,Down
BraA01000035,116,108,135,96,73,57,0.0382581154446256,0.667661071407864,Not sig
BraA01000036,544,601,581,327,382,446,0.0169555527794548,0.579539612875535,Not sig
BraA01000038,21,46,44,72,155,164,0.0768350666194817,-1.81660893095725,Not sig
BraA01000039,1,0.005,3,1,4,4,0.280601163808483,-1.16812275880833,Not sig
BraA01000040,2,3,5,0.005,0.005,4,0.288907973392784,1.31832585820717,Not sig
BraA01000042,333,357,217,92,113,327,0.239442543377001,0.769676305027333,Not sig
BraA01000044,20,52,45,40,60,69,0.252861826627613,-0.53051471669878,Not sig
BraA01000045,431.8,603.75,472.22,219.22,219.3,209.07,0.0307875747630127,1.21926375911292,Up
BraA01000047,557,647,679,716,809,644,0.19283213213166,-0.203997053058046,Not sig
BraA01000048,304,385,348,366,431,442,0.113430905993056,-0.256760293327376,Not sig
BraA01000049,6.78,22.2,36.78,21.59,15.13,18.36,0.723754090115995,0.255681739546719,Not sig
BraA01000051,13,19,0.005,0.005,13,0.005,0.424964304972067,1.29867634654788,Not sig
BraA01000053,89.22,152.8,91.22,70.41,80.87,156.64,0.81828775450868,0.114006006729163,Not sig
BraA01000054,40,36,47,55,53,59,0.0262780044598165,-0.441189787134812,Not sig
BraA01000056,0.005,0.005,17,13,0.005,23,0.509905930880288,-1.08181412595129,Not sig
BraA01000060,0.005,0.005,0.005,1,0.005,2,0.225662696077777,-7.64625867999003,Not sig
BraA01000061,710,774.84,640,1366,1607,1341,0.00549514575295197,-1.02167196578784,Down
BraA01000062,51,46,53,25,14,18,0.0023803391098981,1.39592867633114,Up
BraA01000065,114,178,109,358,349,370,0.00638294587680909,-1.42534410808929,Down
BraA01000067,610,818,707,935,790,1095,0.10805679964914,-0.401459092778303,Not sig
BraA01000069,199,225,199,77,75,109,0.001268248607818,1.25518235645412,Up
BraA01000073,2,2,1,0.005,0.005,2,0.274287211429414,1.31473259348316,Not sig
BraA01000074,0.005,0.005,0.005,7,1,7,0.129822963440234,-9.96578428466209,Not sig
BraA01000075,276,409,382,5,6,6,0.0131786308225618,5.97188161957409,Up
BraA01000076,12,17,6,78,70,61,0.0012161826363273,-2.57807611513592,Down
BraA01000078,34,57,39,0.005,0.005,9,0.0167804203341834,3.85084070698964,Up
BraA01000079,13,27,21,178,200,233,0.00512918148634932,-3.32429123225584,Down
BraA01000080,29,32,43,5,5,9,0.0150979836363894,2.45251220469751,Up
BraA01000081,1,4,2,3,6,3,0.280424620292441,-0.777607578663552,Not sig
BraA01000082,11341,11290,10515,42,16,267,0.000228095608545857,6.67225125061846,Up
BraA01000084,17,16,22,40,24,26,0.134301765879075,-0.710493382805015,Not sig
BraA01000085,390,541,409,340,436,891,0.59217301523571,-0.315021103641282,Not sig
BraA01000086,220,210,148,190,196,419,0.424109107742617,-0.477919290501301,Not sig
BraA01000087,31,33,29,102,77,82,0.0163619707032483,-1.48874718546185,Down
BraA01000088,31,46,37,19,31,61,0.945413730761685,0.0384741478146356,Not sig
BraA01000090,205,263,208,354,425,323,0.0228719023416144,-0.705029072288973,Not sig
BraA01000091,51,92,85,21,12,95,0.339392806544843,0.832890014164742,Not sig
BraA01000092,230,253,229,261,179,801,0.461550464406176,-0.801553969163959,Not sig
BraA01000093,302,411,424,118,145,158,0.0182601266668431,1.43334011582585,Up
BraA01000094,273,339,285,2965,2856,1828,0.0246322144133594,-3.09209125763401,Down
BraA01000095,0.005,0.005,0.005,0.005,4,2,0.225532721242951,-8.64505793498448,Not sig
BraA01000097,111,86,64,76,121,90,0.672012888423971,-0.137000930105803,Not sig
BraA01000098,3,6,6,30,23,9,0.122994707539072,-2.04730571477836,Not sig
BraA01000099,918,1273,1111,844,974,1144,0.447882828235907,0.15676847962441,Not sig
BraA01000100,55,84,59,98,71,80,0.23250341983871,-0.330645311988471,Not sig
BraA01000101,0.005,2,1,0.005,1,2,1,0,Not sig
BraA01000102,231,281,219,369,502,488,0.0237700878862866,-0.894602144814954,Not sig
BraA01000104,789,970,872,472,586,605,0.00958173196543377,0.66182307987862,Not sig
BraA01000106,43,33.76,47,39,18,39,0.328898813751239,0.366438790953155,Not sig
BraA01000107,0.005,0.005,0.005,0.005,1,12,0.376897894581948,-9.75988818322183,Not sig
BraA01000110,9,15,15,0.005,0.005,0.005,0.0228771593086554,11.3442959079158,Up
