	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000002	66.48	95.29	76.28	65.47	79.79	79.7	0.682108803118197	0.0815961293711654	Not sig
BraA01000003	351.64	317.61	288.41	924.31	746.8	651.47	0.0247356703572076	-1.27814284131837	Down
BraA01000004	73	60	75	36	30	13	0.0093551655250134	1.39665896996399	Up
BraA01000006	105	44	79	35	27	14	0.0903745656479308	1.58496250072116	Not sig
BraA01000007	33	43	17	107	143	146	0.00461037546227464	-2.09019780897158	Down
BraA01000008	272.96	143.61	79.79	78.74	100.02	78.73	0.295427585271182	0.946870453945993	Not sig
BraA01000009	28	33.93	42	12	20	20	0.0299157089971715	0.999028628320325	Not sig
BraA01000010	51	37	36	107	130	134	0.00270237927164258	-1.58107906623393	Down
BraA01000012	0.005	1	1	1	2	3	0.1338441924105	-1.58136026404096	Not sig
BraA01000015	0.005	0.005	0.005	0.005	3	6	0.225489526322092	-9.22961996518512	Not sig
BraA01000016	0.005	0.005	0.005	1	5	2	0.157183645736135	-9.05889368905357	Not sig
BraA01000018	0.005	1	3	2	6	12	0.201442162600709	-2.32012585225338	Not sig
BraA01000019	1	0.005	3	0.005	0.005	0.005	0.270069503221121	8.06069593168755	Not sig
BraA01000020	225	167	229	162	166	161	0.158472067663874	0.344758803268248	Not sig
BraA01000021	64	52	79	57	67	73	0.945847359599608	-0.0147215057067656	Not sig
BraA01000022	50	26	31	181	198	156	0.00144084505699872	-2.32192809488736	Down
BraA01000023	0.005	2	0.005	1368	1992.02	2124	0.0158899136018883	-11.4138226158353	Down
BraA01000026	31	22	15	25	20	8	0.506016396188788	0.35954238668714	Not sig
BraA01000027	5	8	10	31	31	24	0.00313559194150352	-1.90270279864509	Down
BraA01000030	355	411	318	845	938	956	0.0003118829297813	-1.33728450935151	Down
BraA01000031	191	155	131	72	93	65	0.0257818840699756	1.05235540506114	Up
BraA01000035	131	105	140	116	108	135	0.691263487337973	0.066748817854586	Not sig
BraA01000036	385	313	331	544	601	581	0.00137581131975874	-0.746189482284987	Not sig
BraA01000038	56	142	42	21	46	44	0.301082061294459	1.11247472925841	Not sig
BraA01000039	1	0.005	0.005	1	0.005	3	0.378566668196023	-1.98744694965692	Not sig
BraA01000040	3	1	0.005	2	3	5	0.184115820592875	-1.32012585225338	Not sig
BraA01000042	102	61	98	333	357	217	0.0295009762975508	-1.79705274395864	Down
BraA01000044	52	48	55	20	52	45	0.321094640862007	0.405759685690833	Not sig
BraA01000045	257.26	154.05	221.83	431.8	603.75	472.22	0.0141667655714777	-1.25181992317197	Down
BraA01000047	842	741	1055	557	647	679	0.0980502785834711	0.486411564637317	Not sig
BraA01000048	592	532	697	304	385	348	0.0179302805935045	0.812315028163612	Not sig
BraA01000049	9.1	10.48	7.95	6.78	22.2	36.78	0.278622483915325	-1.25620568908612	Not sig
BraA01000051	0.1	9	0.005	13	19	0.005	0.314327359164627	-1.81356638628884	Not sig
BraA01000053	67.9	75.52	64.05	89.22	152.8	91.22	0.179446541444133	-0.683658844026241	Not sig
BraA01000054	51	52	67	40	36	47	0.0738837596892101	0.466876430798462	Not sig
BraA01000056	27.9	0.005	18	0.005	0.005	17	0.39352735378469	1.43226816040123	Not sig
BraA01000060	1	2	1	0.005	0.005	0.005	0.0575857681940916	8.05889368905357	Not sig
BraA01000061	1470	1572.48	1841.78	710	774.84	640	0.0082201054185131	1.20078578951788	Up
BraA01000062	16	7	20	51	46	53	0.00349293546486803	-1.80255393579378	Down
BraA01000065	363	301	387	114	178	109	0.00329504065431988	1.39008852750726	Up
BraA01000067	583	505	359	610	818	707	0.0620028744552195	-0.561171147976128	Not sig
BraA01000069	111	68	83	199	225	199	0.00228778572632017	-1.24966535148655	Down
BraA01000073	0.005	0.005	2	2	2	1	0.274287211429414	-1.31473259348316	Not sig
BraA01000074	1	0.005	6	0.005	0.005	0.005	0.335910519952037	8.86727873970966	Not sig
BraA01000075	2	2	2	276	409	382	0.0129164805938449	-7.47438196010327	Down
BraA01000076	102	59	87	12	17	6	0.0243766933066337	2.82491329344191	Up
BraA01000078	0.005	0.005	0.005	34	57	39	0.025011650596701	-13.081261502082	Down
BraA01000079	106	108	153	13	27	21	0.0167120566021387	2.58889891528033	Up
BraA01000080	4	4	5	29	32	43	0.0186148551618994	-3	Down
BraA01000081	0.005	2	2	1	4	2	0.420776589216664	-0.805552679423619	Not sig
BraA01000082	41	59	25	11341	11290	10515	0.000580063808810152	-8.05076287387219	Down
BraA01000084	32	27	24	17	16	22	0.0376265392954596	0.593679717822265	Not sig
BraA01000085	538	255	307	390	541	409	0.476882845760438	-0.284729476933113	Not sig
BraA01000086	236	118	164	220	210	148	0.65550571945231	-0.158117394814125	Not sig
BraA01000087	103	78	115	31	33	29	0.0239175402271441	1.67029455452092	Up
BraA01000088	23	4	15	31	46	37	0.0291075571889561	-1.44057259138598	Down
BraA01000090	389	409	352	205	263	208	0.00345821385745708	0.766538709549553	Not sig
BraA01000091	17	0.005	1	51	92	85	0.0185438413811187	-3.66256431974919	Down
BraA01000092	220	97	76	230	253	229	0.137648090515817	-0.857347928707791	Not sig
BraA01000093	122	95	110	302	411	424	0.0168092069190562	-1.79786971339417	Down
BraA01000094	2688	2408	3163	273	339	285	0.00756800802366087	3.20278722039746	Up
BraA01000095	0.005	2	1	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000097	138	73	130	111	86	64	0.347065437090562	0.385721932454288	Not sig
BraA01000098	23	11	35	3	6	6	0.118853461339065	2.20163386116965	Not sig
BraA01000099	953	877	1236	918	1273	1111	0.627488467434105	-0.106982423254481	Not sig
BraA01000100	72	86	101	55	84	59	0.175392809823991	0.387451667606944	Not sig
BraA01000101	0.005	1	3	0.005	2	1	0.769650151406301	0.414437251697525	Not sig
BraA01000102	501	407	582	231	281	219	0.0260935841643649	1.02736901939709	Up
BraA01000103	1	0.005	2	0.005	0.005	0.005	0.225662696077777	7.64625867999003	Not sig
BraA01000104	552	353	358	789	970	872	0.00635884111556994	-1.05875660937834	Down
BraA01000106	37	45.58	57	43	33.76	47	0.498253880631737	0.173547135006764	Not sig
BraA01000107	2	3	1	0.005	0.005	0.005	0.074511615983958	8.64385618977473	Not sig
BraA01000110	4	1	4	9	15	15	0.0217244701276153	-2.11547721741994	Down
BraA01000111	46	37	45	17	27	7	0.0297158245524995	1.3275746580285	Up
BraA01000112	228	171	244	134	156	160	0.0871817354009297	0.51489373611091	Not sig
BraA01000113	2	0.005	2	1	1	1	0.664441669777572	0.416839741912829	Not sig
BraA01000114	3	0.005	3	13	22	21	0.018883463859536	-3.2211906761267	Down
BraA01000115	0.005	0.005	0.005	8	4	6	0.0351542373452968	-10.2288186904959	Down
BraA01000116	1	0.005	0.005	37	46	48	0.0056693537981227	-7.01906770856038	Down
BraA01000117	64	71	91	22	7	6	0.00467078934655165	2.69089594547022	Up
BraA01000118	161	150	120	4	5	3	0.00750406337665129	5.16658155836794	Up
BraA01000119	28	21.92	33	7013.99	7475.23	10613.19	0.0178898777551988	-8.24189004745617	Down
BraA01000120	39	14	20	110	133	117	0.000742982142323196	-2.30202853744966	Down
BraA01000121	723	772.21	1286.87	189.58	330	223	0.0569645315501635	1.90554554129868	Not sig
BraA01000122	192	217	244	203	219	207	0.654617322770617	0.0540229746671417	Not sig
BraA01000123	2057	1051	2371	2635	2314	2263	0.281307599838779	-0.396486793126362	Not sig
BraA01000126	29	16	37	33	23	52	0.45899420442036	-0.397335497545385	Not sig
