	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA01000002	66.48	95.29	76.28	65.47	79.79	79.7	1	0.0815961293711654	Not sig
BraA01000003	351.64	317.61	288.41	924.31	746.8	651.47	0.1	-1.27814284131837	Not sig
BraA01000004	73	60	75	36	30	13	0.1	1.39665896996399	Not sig
BraA01000006	105	44	79	35	27	14	0.1	1.58496250072116	Not sig
BraA01000007	33	43	17	107	143	146	0.1	-2.09019780897158	Not sig
BraA01000008	272.96	143.61	79.79	78.74	100.02	78.73	0.2	0.946870453945993	Not sig
BraA01000009	28	33.93	42	12	20	20	0.0765225004750592	0.999028628320325	Not sig
BraA01000010	51	37	36	107	130	134	0.1	-1.58107906623393	Not sig
BraA01000012	0.005	1	1	1	2	3	0.164159728478515	-1.58136026404096	Not sig
BraA01000015	0.005	0.005	0.005	0.005	3	6	0.196705602458947	-9.22961996518512	Not sig
BraA01000016	0.005	0.005	0.005	1	5	2	0.0636025696207536	-9.05889368905357	Not sig
BraA01000018	0.005	1	3	2	6	12	0.2	-2.32012585225338	Not sig
BraA01000019	1	0.005	3	0.005	0.005	0.005	0.196705602458947	8.06069593168755	Not sig
BraA01000020	225	167	229	162	166	161	0.1	0.344758803268248	Not sig
BraA01000021	64	52	79	57	67	73	1	-0.0147215057067656	Not sig
BraA01000022	50	26	31	181	198	156	0.1	-2.32192809488736	Not sig
BraA01000023	0.005	2	0.005	1368	1992.02	2124	0.0765225004750592	-11.4138226158353	Not sig
BraA01000026	31	22	15	25	20	8	0.7	0.35954238668714	Not sig
BraA01000027	5	8	10	31	31	24	0.0765225004750592	-1.90270279864509	Not sig
BraA01000030	355	411	318	845	938	956	0.1	-1.33728450935151	Not sig
BraA01000031	191	155	131	72	93	65	0.1	1.05235540506114	Not sig
BraA01000035	131	105	140	116	108	135	1	0.066748817854586	Not sig
BraA01000036	385	313	331	544	601	581	0.1	-0.746189482284987	Not sig
BraA01000038	56	142	42	21	46	44	0.4	1.11247472925841	Not sig
BraA01000039	1	0.005	0.005	1	0.005	3	0.479500122186953	-1.98744694965692	Not sig
BraA01000040	3	1	0.005	2	3	5	0.268285883677117	-1.32012585225338	Not sig
BraA01000042	102	61	98	333	357	217	0.1	-1.79705274395864	Not sig
BraA01000044	52	48	55	20	52	45	0.268285883677117	0.405759685690833	Not sig
BraA01000045	257.26	154.05	221.83	431.8	603.75	472.22	0.1	-1.25181992317197	Not sig
BraA01000047	842	741	1055	557	647	679	0.1	0.486411564637317	Not sig
BraA01000048	592	532	697	304	385	348	0.1	0.812315028163612	Not sig
BraA01000049	9.1	10.48	7.95	6.78	22.2	36.78	0.7	-1.25620568908612	Not sig
BraA01000051	0.1	9	0.005	13	19	0.005	0.50655516904904	-1.81356638628884	Not sig
BraA01000053	67.9	75.52	64.05	89.22	152.8	91.22	0.1	-0.683658844026241	Not sig
BraA01000054	51	52	67	40	36	47	0.1	0.466876430798462	Not sig
BraA01000056	27.9	0.005	18	0.005	0.005	17	0.353678517318465	1.43226816040123	Not sig
BraA01000060	1	2	1	0.005	0.005	0.005	0.0593464387919199	8.05889368905357	Not sig
BraA01000061	1470	1572.48	1841.78	710	774.84	640	0.1	1.20078578951788	Not sig
BraA01000062	16	7	20	51	46	53	0.1	-1.80255393579378	Not sig
BraA01000065	363	301	387	114	178	109	0.1	1.39008852750726	Not sig
BraA01000067	583	505	359	610	818	707	0.1	-0.561171147976128	Not sig
BraA01000069	111	68	83	199	225	199	0.0765225004750592	-1.24966535148655	Not sig
BraA01000073	0.005	0.005	2	2	2	1	0.34577858615116	-1.31473259348316	Not sig
BraA01000074	1	0.005	6	0.005	0.005	0.005	0.196705602458947	8.86727873970966	Not sig
BraA01000075	2	2	2	276	409	382	0.0636025696207536	-7.47438196010327	Not sig
BraA01000076	102	59	87	12	17	6	0.1	2.82491329344191	Not sig
BraA01000078	0.005	0.005	0.005	34	57	39	0.0636025696207536	-13.081261502082	Not sig
BraA01000079	106	108	153	13	27	21	0.1	2.58889891528033	Not sig
BraA01000080	4	4	5	29	32	43	0.0765225004750592	-3	Not sig
